,video_id,video_title,upload_date,view_count,like_count,comment_count
0,YMoJ4jsLqiQ,Cocteau Twins - Heaven or Las Vegas ALBUM REVIEW,2022-01-08,25316,2698,513
1,OHjl7SdzRbg,Stevie Wonder - Songs in the Key of Life ALBUM REVIEW,2022-01-07,92311,5912,825
2,wqxtzJKn-V8,Yellow Magic Orchestra - Solid State Survivor ALBUM REVIEW,2022-01-06,64204,3559,565
3,y-hL789xc8Q,Elliott Smith - Elliott Smith ALBUM REVIEW,2022-01-05,109946,6479,836
4,BSgPn1ijW7k,The Jimi Hendrix Experience - Electric Ladyland ALBUM REVIEW,2022-01-04,209057,14157,1451
5,KAh5C6fv-oo,Hating on NAV for 13 Minutes,2021-12-31,183755,12469,952
6,l8Nq8_7n7oE,The Worst Songs of 2021,2021-12-18,579677,24155,2036
7,5l7sWQ9Z-9A,death&#39;s dynamic shroud.wmv - Faith in Persona ALBUM REVIEW,2021-12-14,117956,4092,551
8,Bb7QhCfBNQ8,Richard Dawson &amp; Circle - Henki ALBUM REVIEW,2021-12-01,100861,4002,437
9,t1izUgTyMs8,Converge &amp; Chelsea Wolfe - Bloodmoon: I ALBUM REVIEW,2021-11-30,76778,2300,345
10,Cb3vfW2MRMY,"Earl Sweatshirt, 100 gecs, Freddie Gibbs, FKA twigs | Weekly Track Roundup: 11/28/21",2021-11-29,123441,3108,275
11,JzQAg6RfKCo,2022 Grammy Awards Picks &amp; Predictions!,2021-11-28,320981,13297,1624
12,5XM_6i5_wb4,dltzk - Frailty ALBUM REVIEW,2021-11-25,76265,3479,586
13,7kQMME-e4J4,"YUNOREVIEW: November 2021 (Zack Fox, Imagine Dragons, Damon Albarn, Andrew W.K.)",2021-11-24,124273,3497,815
14,x6Bi-SbHQsY,ABBA - Voyage ALBUM REVIEW,2021-11-22,187871,4743,682
15,dc-zed6ffrQ,Aesop Rock x Blockhead - Garbology ALBUM REVIEW,2021-11-19,101392,3259,560
16,N1Aioax6rYE,IDLES - Crawler ALBUM REVIEW,2021-11-17,146634,3188,757
17,crZNckV5Q74,An Evening with Silk Sonic ALBUM REVIEW,2021-11-16,649598,23276,4526
18,FCzbjnngv8A,"Rosalía, Mitski, Grimes, Code Orange  | Weekly Track Roundup: 11/14/21",2021-11-15,135074,3295,471
19,KlsqFSGQi0U,"Silk Sonic, Post Malone, Charli XCX, Green Day | Weekly Track Roundup: 11/7/21",2021-11-08,183628,4610,681
20,EZc4QCJmKdQ,The War on Drugs - I Don&#39;t Live Here Anymore ALBUM REVIEW,2021-11-05,90313,1720,396
21,Bjm9BdhuvRY,Parquet Courts - Sympathy for Life ALBUM REVIEW,2021-10-28,85921,1842,382
22,meeXN2ljRoA,Coldplay - Music of the Spheres ALBUM REVIEW,2021-10-26,321850,10585,1779
23,6mGcNObSah8,Lil Ugly Mane - Volcanic Bird Enemy and the Voiced Concern ALBUM REVIEW,2021-10-22,104850,3381,444
24,XEvmxqE3x5M,Young Thug - Punk ALBUM REVIEW,2021-10-19,316395,9977,1902
25,WlTVXFoOyv4,"Adele, Black Country New Road, Mac Miller, Maxo Kream | Weekly Track Roundup: 10/17/21",2021-10-18,140510,3395,382
26,qCs96C1QPKI,BADBADNOTGOOD - Talk Memory ALBUM REVIEW,2021-10-14,116036,3415,461
27,-IYvNxzzfd4,Blu - The Color Blu(e) ALBUM REVIEW,2021-10-12,133499,4068,527
28,wN7fL85IHwY,"YUNOREVIEW: October 2021 (Spiritbox, Amyl, Meek Mill, Metallica)",2021-10-09,98596,2698,727
29,D8nsZQJpFRM,illuminati hotties - Let Me Do One More ALBUM REVIEW,2021-10-07,126055,3065,427
30,wIw3aX6Id5w,"Eminem, JPEGMAFIA, Arca, Limp Bizkit | Weekly Track Roundup: 10/4/21",2021-10-04,176127,4937,695
31,JstdXoJ-1TI,Sault - Nine ALBUM REVIEW,2021-10-01,66305,1755,428
32,bO4nntxCsz4,Sufjan Stevens &amp; Angelo De Augustine - A Beginner&#39;s Mind ALBUM REVIEW,2021-09-30,185242,5887,619
33,XfNpqVl-caw,ZillaKami - DOG BOY ALBUM REVIEW,2021-09-29,164565,4305,2072
34,JLfSAHlNrBI,"quickly, quickly - The Long and Short of It ALBUM REVIEW",2021-09-28,66095,2224,391
35,9t3xLtOCF4w,Injury Reserve - By the Time I Get to Phoenix ALBUM REVIEW,2021-09-22,345513,16799,1561
36,zCiMy6Dhez0,CHVRCHES - Screen Violence ALBUM REVIEW,2021-09-17,109048,2725,539
