,video_id,video_title,upload_date,view_count,like_count,comment_count
0,rUICJO4qwms,How To Grow Your YouTube Channel - 5 Tips For Beginners,2021-10-26,103073,3108,494
1,wbBY2tTqXDA,Relations and Functions,2021-08-25,72487,1982,131
2,dHjWVlfNraM,Kinematics In One Dimension - Physics,2021-05-31,225306,4173,165
3,KtZai86htng,"Geometry Introduction - Basic Overview - Review For SAT, ACT, EOC, Midterm Final Exam",2021-05-28,82422,1911,92
4,OqsOIp5UuME,Resonance Structures,2021-05-24,106487,1571,69
5,zRKZ0-kOUZM,Geometric Series and Geometric Sequences - Basic Introduction,2021-05-16,186174,3282,111
6,XZJdyPkCxuE,Arithmetic Sequences and Arithmetic Series - Basic Introduction,2021-05-13,308671,6167,198
7,J6TnZxUUzqU,Complex Numbers In Polar - De Moivre&#39;s Theorem,2021-05-10,119033,2024,114
8,KYgmOTLbuqE,Finding The Focus and Directrix of a Parabola - Conic Sections,2021-05-02,216593,3599,146
9,OPSCKXXvWiM,Writing Equations of Ellipses In Standard Form and Graphing Ellipses - Conic Sections,2021-04-29,158010,2729,99
10,QKkdYW77xNI,Partial Fraction Decomposion,2021-04-23,292473,4618,138
11,xaCPDMEkbig,Antiderivatives,2021-04-21,148706,3112,138
12,sdYdnpYn-1o,How To Integrate Using U-Substitution,2021-04-19,370260,6292,270
13,jO4lwddfeDA,How To Graph Polar Equations,2021-04-17,90711,1705,68
14,Tmdrjs9xufc,Transformations of Functions,2021-04-16,110129,2395,80
15,CwkhvFlNFp0,Physics 1 Final Exam Review,2021-04-07,158856,3961,286
16,_DwG8fukuj4,Conservation of Energy Physics Problems,2021-04-06,89499,1481,81
17,SsA7rZ8kczM,ACT Math Test Prep,2021-04-05,80209,2098,257
18,3RwUIP9pMSo,Calculus 2 Final Exam Review -,2021-04-02,79999,1618,137
19,2KuNzB0cZL4,"Gibbs Free Energy - Entropy, Enthalpy &amp; Equilibrium Constant K",2021-03-30,115866,1640,56
20,B_ketdzJtY8,Organic Chemistry - Basic Introduction,2021-03-29,525685,8669,305
21,kO-9OajoPZs,"Ksp - Molar Solubility, Ice Tables, &amp; Common Ion Effect",2021-03-28,106905,1479,123
22,3pXALn2ovIE,Trigonometric Integrals,2021-03-26,245761,3899,169
23,hz-fSXifP9w,SN2 SN1 E1 E2 Reaction Mechanisms Made Easy!,2021-03-26,155720,2602,75
24,sWSLLO3DS1I,Integration By Parts,2021-03-25,361831,5279,215
25,RIBeeW1DSZg,Static Friction and Kinetic Friction Physics Problems With Free Body Diagrams,2021-02-22,199619,3268,131
26,52R61aSWHg0,"Free Body Diagrams - Tension, Friction, Inclined Planes, &amp; Net Force",2021-02-21,131514,2003,67
27,N6IhkTjWrd4,Pulley Physics Problem - Finding Acceleration and Tension Force,2021-02-19,190713,2685,118
28,B1bWIrOe0SE,Writing Rate Laws of Reaction Mechanisms Using The Rate Determining Step - Chemical Kinetics,2021-02-16,127762,2089,134
29,bNcTt3l3Q8k,Le Chatelier&#39;s Principle,2021-02-13,133452,2972,141
30,kJTCuRSeh6g,pH of Weak Acids and Bases - Percent Ionization - Ka &amp; Kb,2021-02-12,156785,2932,132
31,Ft2_QtXAnh8,Linear Equations - Algebra,2021-02-10,387305,7836,372
32,7DPWeBszNSM,How To Solve Linear Equations In Algebra,2021-02-09,113021,2427,143
33,BimpNou0orc,Capacitors - Basic Introduction - Physics,2021-02-03,113942,2111,78
34,KoZ61FujkRk,Electric Potential Energy,2021-01-30,77588,1366,63
35,jt7p-mCC0ng,Evaluating Inverse Trigonometric Functions,2021-01-30,240681,4145,147
36,LzKMQByFSLc,Electric Potential,2021-01-29,165696,3019,128
37,V9RLc9EX1so,Electric Field Due To Point Charges - Physics Problems,2021-01-27,283478,4548,170
38,0g3339ciUls,Raoult&#39;s Law - How To Calculate The Vapor Pressure of a Solution,2021-01-23,86843,1169,54
39,JQBRzsPhw2w,"Logic Gates, Truth Tables, Boolean Algebra   AND, OR, NOT, NAND &amp; NOR",2021-01-22,490436,8523,293
40,zg9N2gAf6a4,Convergence and Divergence - Introduction to Series,2021-01-20,196727,3369,107
41,a5x4lwnvHM0,"How To Graph Polynomial Functions Using End Behavior, Multiplicity &amp; Zeros",2021-01-17,306314,5438,185
42,_39hCnqbNXM,Relative Velocity - Basic Introduction,2021-01-15,96163,1877,88
43,FFDMzbrEXaE,"Number Systems Introduction - Decimal, Binary, Octal &amp; Hexadecimal",2021-01-15,317880,6623,245
44,HCWwRh5CXYU,"Unit Cell Chemistry   Simple Cubic, Body Centered Cubic, Face Centered Cubic Crystal Lattice Structu",2021-01-14,156867,2576,94
45,tfItlGfPHyo,How To Solve Projectile Motion Problems In Physics,2021-01-14,239736,3616,128
46,owVZiKnnPME,Acids and Bases - Basic Introduction - Organic Chemistry,2021-01-14,107890,1609,81
47,pdJeQUd2g_4,Hybridization of Atomic Orbitals - Sigma &amp; Pi Bonds - Sp Sp2 Sp3,2021-01-12,501135,8338,194
48,Rf05H8ogHLg,Verifying Trigonometric Identities,2021-01-10,282229,5087,276
49,GiCojsAWRj0,Calculus 1 Review -  Basic Introduction,2021-01-09,220504,3621,120
